Index,Cancer,Drug,Gene,Raw P value,Link
91,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PSENEN,4.26E-07,LINK
92,Pancreatic adenocarcinoma (PAAD),Fluorouracil,U2AF1L4,4.26E-07,LINK
93,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf55,4.26E-07,LINK
94,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HSPB6,4.26E-07,LINK
95,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ARHGAP33,4.26E-07,LINK
96,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PRODH2,4.26E-07,LINK
97,Pancreatic adenocarcinoma (PAAD),Fluorouracil,NPHS1,4.26E-07,LINK
98,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KIRREL2,4.26E-07,LINK
99,Pancreatic adenocarcinoma (PAAD),Fluorouracil,APLP1,4.26E-07,LINK
100,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL402P,4.26E-07,LINK
101,Pancreatic adenocarcinoma (PAAD),Fluorouracil,NFKBID,4.26E-07,LINK
102,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HCST,4.26E-07,LINK
103,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TYROBP,4.26E-07,LINK
104,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LRFN3,4.26E-07,LINK
105,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SDHAF1,4.26E-07,LINK
106,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SYNE4,4.26E-07,LINK
107,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ALKBH6,4.26E-07,LINK
108,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CLIP3,4.26E-07,LINK
109,Pancreatic adenocarcinoma (PAAD),Fluorouracil,THAP8,4.26E-07,LINK
110,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WDR62,4.26E-07,LINK
111,Pancreatic adenocarcinoma (PAAD),Fluorouracil,OVOL3,4.26E-07,LINK
112,Pancreatic adenocarcinoma (PAAD),Fluorouracil,POLR2I,4.26E-07,LINK
113,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TBCB,4.26E-07,LINK
114,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CAPNS1,4.26E-07,LINK
115,Pancreatic adenocarcinoma (PAAD),Fluorouracil,COX7A1,4.26E-07,LINK
116,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF565,4.26E-07,LINK
117,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL287P,4.26E-07,LINK
118,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF146,4.26E-07,LINK
119,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LINC00665,4.26E-07,LINK
120,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZFP14,4.26E-07,LINK
121,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZFP82,4.26E-07,LINK
122,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF566,4.26E-07,LINK
123,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF260,4.26E-07,LINK
124,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF529,4.26E-07,LINK
125,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF382,4.26E-07,LINK
126,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF461,4.26E-07,LINK
127,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF567,4.26E-07,LINK
128,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF850,4.26E-07,LINK
129,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF790,4.26E-07,LINK
130,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF345,4.26E-07,LINK
131,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF829,4.26E-07,LINK
132,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF568,4.26E-07,LINK
133,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF420,4.26E-07,LINK
134,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF585A,4.26E-07,LINK
135,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF585B,4.26E-07,LINK
136,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF383,4.26E-07,LINK
137,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HKR1,4.26E-07,LINK
138,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF527,4.26E-07,LINK
139,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF569,4.26E-07,LINK
140,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF570,4.26E-07,LINK
141,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF793,4.26E-07,LINK
142,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF540,4.26E-07,LINK
143,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF571,4.26E-07,LINK
144,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZFP30,4.26E-07,LINK
145,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF781,4.26E-07,LINK
146,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF607,4.26E-07,LINK
147,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF573,4.26E-07,LINK
148,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WDR87,4.26E-07,LINK
149,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SIPA1L3,4.26E-07,LINK
150,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DPF1,4.26E-07,LINK
151,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL663P,4.26E-07,LINK
152,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SPINT2,4.26E-07,LINK
153,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PPP1R14A,4.26E-07,LINK
154,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf33,4.26E-07,LINK
155,Pancreatic adenocarcinoma (PAAD),Fluorouracil,YIF1B,4.26E-07,LINK
156,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KCNK6,4.26E-07,LINK
157,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CATSPERG,4.26E-07,LINK
158,Pancreatic adenocarcinoma (PAAD),Fluorouracil,snoU13|ENSG00000238838.1,4.26E-07,LINK
159,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PSMD8,4.26E-07,LINK
160,Pancreatic adenocarcinoma (PAAD),Fluorouracil,GGN,4.26E-07,LINK
161,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SPRED3,4.26E-07,LINK
162,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FAM98C,4.26E-07,LINK
163,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RASGRP4,4.26E-07,LINK
164,Stomach adenocarcinoma (STAD),Fluorouracil,SIM2,1.55E-06,LINK
165,Stomach adenocarcinoma (STAD),Fluorouracil,RNA5SP491,1.55E-06,LINK
166,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF266,1.73E-06,LINK
167,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF560,1.73E-06,LINK
168,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF426,1.73E-06,LINK
169,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF121,1.73E-06,LINK
170,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF561,1.73E-06,LINK
171,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf82,1.73E-06,LINK
172,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF562,1.73E-06,LINK
173,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF812,1.73E-06,LINK
174,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF846,1.73E-06,LINK
175,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FBXL12,1.73E-06,LINK
176,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORA70|ENSG00000200237.1,1.73E-06,LINK
177,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL94P,1.73E-06,LINK
178,Pancreatic adenocarcinoma (PAAD),Fluorouracil,UBL5,1.73E-06,LINK
179,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PIN1,1.73E-06,LINK
180,Pancreatic adenocarcinoma (PAAD),Fluorouracil,OLFM2,1.73E-06,LINK
181,Pancreatic adenocarcinoma (PAAD),Fluorouracil,COL5A3,1.73E-06,LINK
182,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RDH8,1.73E-06,LINK
183,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C3P1,1.73E-06,LINK
184,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR5589,1.73E-06,LINK
185,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf66,1.73E-06,LINK
186,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ANGPTL6,1.73E-06,LINK
187,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PPAN,1.73E-06,LINK
188,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORD105,1.73E-06,LINK
189,Pancreatic adenocarcinoma (PAAD),Fluorouracil,P2RY11,1.73E-06,LINK
190,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORD105B,1.73E-06,LINK
191,Pancreatic adenocarcinoma (PAAD),Fluorouracil,EIF3G,1.73E-06,LINK
192,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DNMT1,1.73E-06,LINK
193,Pancreatic adenocarcinoma (PAAD),Fluorouracil,S1PR2,1.73E-06,LINK
194,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR4322,1.73E-06,LINK
195,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MRPL4,1.73E-06,LINK
196,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ICAM1,1.73E-06,LINK
197,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ICAM4,1.73E-06,LINK
198,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ICAM5,1.73E-06,LINK
199,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZGLP1,1.73E-06,LINK
200,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FDX1L,1.73E-06,LINK
201,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RAVER1,1.73E-06,LINK
202,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ICAM3,1.73E-06,LINK
203,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TYK2,1.73E-06,LINK
204,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CDC37,1.73E-06,LINK
205,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR1181,1.73E-06,LINK
206,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PDE4A,1.73E-06,LINK
207,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KEAP1,1.73E-06,LINK
208,Pancreatic adenocarcinoma (PAAD),Fluorouracil,S1PR5,1.73E-06,LINK
209,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ATG4D,1.73E-06,LINK
210,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR1238,1.73E-06,LINK
211,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KRI1,1.73E-06,LINK
212,Pancreatic adenocarcinoma (PAAD),Fluorouracil,AP1M2,1.73E-06,LINK
213,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CDKN2D,1.73E-06,LINK
214,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SLC44A2,1.73E-06,LINK
215,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ILF3,1.73E-06,LINK
216,Pancreatic adenocarcinoma (PAAD),Fluorouracil,QTRT1,1.73E-06,LINK
217,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DNM2,1.73E-06,LINK
218,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR638,1.73E-06,LINK
219,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR4748,1.73E-06,LINK
220,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR199A1,1.73E-06,LINK
221,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf38,1.73E-06,LINK
222,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TMED1,1.73E-06,LINK
223,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CARM1,1.73E-06,LINK
224,Pancreatic adenocarcinoma (PAAD),Fluorouracil,YIPF2,1.73E-06,LINK
225,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf52,1.73E-06,LINK
226,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SMARCA4,1.73E-06,LINK
227,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL192P,1.73E-06,LINK
228,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LDLR,1.73E-06,LINK
229,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SPC24,1.73E-06,LINK
230,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KANK2,1.73E-06,LINK
231,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DOCK6,1.73E-06,LINK
232,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL298P,1.73E-06,LINK
233,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf80,1.73E-06,LINK
234,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TSPAN16,1.73E-06,LINK
235,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RAB3D,1.73E-06,LINK
236,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CCDC159,1.73E-06,LINK
237,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TMEM205,1.73E-06,LINK
238,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DKFZP761J1410,1.73E-06,LINK
239,Pancreatic adenocarcinoma (PAAD),Fluorouracil,EPOR,1.73E-06,LINK
240,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SWSAP1,1.73E-06,LINK
241,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RGL3,1.73E-06,LINK
242,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CCDC151,1.73E-06,LINK
243,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PRKCSH,1.73E-06,LINK
244,Pancreatic adenocarcinoma (PAAD),Fluorouracil,snoU13|ENSG00000238349.1,1.73E-06,LINK
245,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ELAVL3,1.73E-06,LINK
246,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL669P,1.73E-06,LINK
247,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF653,1.73E-06,LINK
248,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ECSIT,1.73E-06,LINK
249,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL833P,1.73E-06,LINK
250,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CNN1,1.73E-06,LINK
251,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ELOF1,1.73E-06,LINK
252,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF627,1.73E-06,LINK
253,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ACP5,1.73E-06,LINK
254,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF833P,1.73E-06,LINK
255,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF823,1.73E-06,LINK
256,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF441,1.73E-06,LINK
257,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF491,1.73E-06,LINK
258,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF439,1.73E-06,LINK
259,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF440,1.73E-06,LINK
260,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF69,1.73E-06,LINK
261,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF700,1.73E-06,LINK
262,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF763,1.73E-06,LINK
263,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RNA5SP464,1.73E-06,LINK
264,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF433,1.73E-06,LINK
265,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RNA5SP465,1.73E-06,LINK
266,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF878,1.73E-06,LINK
267,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RNA5SP466,1.73E-06,LINK
268,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF844,1.73E-06,LINK
269,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF788,1.73E-06,LINK
270,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF20,1.73E-06,LINK
271,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RNA5SP467,1.73E-06,LINK
272,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF625,1.73E-06,LINK
273,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF136,1.73E-06,LINK
274,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF44,1.73E-06,LINK
275,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF563,1.73E-06,LINK
276,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF442,1.73E-06,LINK
277,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF443,1.73E-06,LINK
278,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF799,1.73E-06,LINK
279,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF709,1.73E-06,LINK
280,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF564,1.73E-06,LINK
281,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF490,1.73E-06,LINK
282,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF791,1.73E-06,LINK
283,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MAN2B1,1.73E-06,LINK
284,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WDR83OS,1.73E-06,LINK
285,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WDR83,1.73E-06,LINK
286,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DHPS,1.73E-06,LINK
287,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FBXW9,1.73E-06,LINK
288,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TNPO2,1.73E-06,LINK
289,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORD41|ENSG00000209702.1,1.73E-06,LINK
290,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf43,1.73E-06,LINK
291,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ASNA1,1.73E-06,LINK
292,Pancreatic adenocarcinoma (PAAD),Fluorouracil,BEST2,1.73E-06,LINK
293,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HOOK2,1.73E-06,LINK
294,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR5684,1.73E-06,LINK
